Q6,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8
ID do Participante,O que você precisa fazer para ter sua contribuição aceita?,Quais informações os bots te ofereceram?,Como as informações dos bots te ajudaram?,Quanto você concorda com as afirmações a seguir: - Os bots forneceram informações adequadas para a finalidade da contribuição.,Quanto você concorda com as afirmações a seguir: - Eu não consegui entender as informações oferecidas pelos bots.,Quanto você concorda com as afirmações a seguir: - Foi fácil de entender os bots.,Quanto você concorda com as afirmações a seguir: - Eu percebi a presença dos bots.,Quanto você concorda com as afirmações a seguir: - A informação oferecida pelos bots era clara.,Quanto você concorda com as afirmações a seguir: - Os bots ofereceram informações que eram desnecessárias.,Quanto você concorda com as afirmações a seguir: - A quantidade de informações oferecidas pelos bots foi adequada.,Quanto você concorda com as afirmações a seguir: - Os bots contribuiram para melhorar a eficiência do meu trabalho.
P1,"'- Não ter quebrado as regras de build do bot X
- Não diminuir a cobertura de testes do bot Y ","'- Houve um build que, se não estou enganado, passou pelos testes do bot como ""build ok"". (Bot X)
- Cobertura de testes diminuiram -0.64% através do Bot Y","'- Se eu fosse confiar (sem conferir demais telas) na informação que o BOT X gerou, diria que ele me adiantou bastante serviço. Porém, olhando em outras abas, vi uma tela que me deixou um pouco confuso dizendo que alguns builds não estavam ""OK"" (com um x vermelho). Se neste caso, os builds de fato não estavam ok, o bot me gerou um falso positivo, o que pode ser definitivamente ruim.
- O bot Y me forneceu uma estimativa de cobertura de código, que não tenho certeza se passa dos limites de cobertura aceitos pelo projeto. ",Concordo,Concordo,Concordo,Concordo fortemente,Concordo,Discordo,Concordo,Concordo fortemente
P3,"Cobertura de testes, refactoring de alguns métodos com retornos faltando","Sobre a cobertura de testes
Sobre casos de erro no código",Eles apontaram os problemas que tinham no código e como resolvê-los.,Concordo fortemente,Discordo,Concordo,Concordo fortemente,Concordo,Discordo fortemente,Concordo fortemente,Concordo fortemente
P5,"definir o retorno da função, implementar teste de unidade",tinha a definição do que devia ser feito e tinha uma parte do código como exemplo,ter uma amostra do código ajuda a identificar onde a mudança deve ser realizada,Concordo fortemente,Discordo fortemente,Concordo fortemente,Concordo,Concordo fortemente,Discordo fortemente,Concordo fortemente,Neutro
P7,"Resolver a issue da melhor maneira possível, ou seja, de maneira simples e que obedeça os princípios da Engenharia de Software. Aprimorar o pull request para que ele esteja conforme os padrões de qualidade.",Que os dados foram comprimidos e que existem problemas no pull request que precisam ser resolvidos.,Me ajudaram a perceber que faltaram algumas partes do problema para serem implementados.,Concordo,Neutro,Concordo,Concordo,Concordo,Neutro,Neutro,Concordo
P9,"Preciso documentar as minhas alterações, ter meus testes unitários funcionando corretamente (todos passando).","Análise dos testes unitários, documentação das funções e a cobertura do código (especificando por classe)","Ajudou com informações sobre testes unitários da feature, como escrever novos testes e documentando.",Concordo,Discordo,Concordo fortemente,Concordo fortemente,Concordo,Discordo fortemente,Concordo,Concordo fortemente
P11,não consegui identificar o que é necessário,"testes, teste de cobertura, commits",enteder o que estava acontecendo e o que ainda precisava,Concordo,Neutro,Concordo,Concordo fortemente,Concordo,Discordo,Neutro,Discordo
P13,Realizar alguns casos de teste,"Algumas linhas de código, arquivos e alguns dados sobre suas modificações, e o necessário para a pull request ser aceita","Com as linhas de código fornecidas, foi possível entender o que eu precisaria implementar a mais e o que precisava ser alterado.",Concordo,Neutro,Neutro,Concordo fortemente,Concordo fortemente,Discordo,Concordo fortemente,Concordo fortemente
P15,Solicitar a aprovação do pull request para que seja possível concluir o mesmo.,Informações de cobertura de código ,"Não percebi a atuação dos bots, entretanto considerando que existiam comentários realizados pelos bots, os mesmos me ajudaram a realizar correções em meu pull request",Neutro,Discordo,Neutro,Discordo,Neutro,Neutro,Neutro,Neutro
P17,Corrigir algo que não tenha passado no conjunto de testes.,"Informações sobre testes unitários faltantes e uma função que estava sem retorno (todo), e também a build do pull-request em uma sandbox (codesandbox).","Principalmente em termos de deixar o código nos padrões de código adotados pelo projeto (testes unitários, etc).",Concordo,Neutro,Concordo,Concordo fortemente,Discordo,Discordo,Discordo,Concordo fortemente
P19,A implementação de alguns testes unitários,Orientações relevantes para ter o PR aceito,Elas forneciam detalhes de implementação,Concordo,Discordo,Concordo,Concordo fortemente,Concordo,Discordo,Concordo,Concordo
P21,Nada,"'- revisão dos comentários de TODO;
- testes em um ambiente controlado;
- avaliação da cobertura dos testes;
- estatísticas das alterações realizadas em determinados arquivos ""commitados"";","As informações dos botes me ajudaram com lembretes de ajustes pendentes, a serem realizados, no código; me ofereceram um ambiente controlado para a realização dos testes; me informaram as estatísticas da cobertura de testes e dos arquivos alterados naquele Pull Requests.",Concordo fortemente,Discordo,Concordo fortemente,Concordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Concordo fortemente
P23,não consegui extrair informações suficientes para responder a questão,oferecem informações a respeito do code coverage,os testes de cobertura ajudam a entender quais partes do código estão de acordo com os padrões de qualidade do projeto,Concordo,Concordo,Neutro,Concordo,Discordo,Neutro,Neutro,Concordo
P25,Passar nos testes propostos,"O que foi alterado, o que tinha que ser feito e se as alterações passaram ou não no teste.",Na visualização das alterações que foram feitas.,Concordo fortemente,Concordo,Concordo,Concordo,Neutro,Discordo,Neutro,Concordo
