Q8,Q9,Q1,Q2_1,Q3_1,Q4_1,Q5
"Por favor, confirme se você concorda em participar do estudo.",Informe seu nome de usuário no GitHub,Com qual gênero você se identifica?,Como você descreve a sua experiência em contribuir para projetos de software de código aberto? - Sem experiência nenhuma:Experiente,Como você descreve a sua experiência com o GitHub? - Sem experiência nenhuma:Experiente,Como você descreve a sua experiência com bots do GitHub? - Sem experiência nenhuma:Experiente,(Opcional) Liste o nome dos bots do GitHub com os quais você teve alguma experiência
Concordo,P1,Homem,2,2,1,
Concordo,P2,Homem,2,4,1,
Concordo,P3,Homem,1,3,2,
Concordo,P4,Homem,2,4,2,"'- dependabot
- analysis-bot (facebook/react-native)
- facebook-github-bot (facebook/react-native)"
Concordo,P5,Mulher,1,3,1,
Concordo,P6,Homem,1,4,1,
Concordo,P7,Homem,1,2,1,
Concordo,P8,Homem,1,3,1,
Concordo,P10,Homem,2,4,1,
Concordo,P9,Homem,1,4,1,
Concordo,P11,Homem,1,3,1,
Concordo,P12,Homem,3,4,5,Dependabot
Concordo,P13,Homem,2,3,1,
Concordo,P20,Transgênero,2,3,1,
Concordo,P21,Homem,4,4,2,dependabot
Concordo,P15,Homem,2,2,1,
Concordo,P14,Homem,4,5,1,Nenhum :)
Concordo,P17,Homem,1,4,2,dependabot
Concordo,P16,Homem,4,5,4,dependabot
Concordo,P24,Homem,1,3,1,
Concordo,P19,Homem,2,3,1,
Concordo,P18,Homem,4,4,2,Vercel
Concordo,P22,Homem,2,4,1,
Concordo,P23,Homem,2,3,1,
Concordo,P25,Homem,2,3,1,
